Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ
2015-05-13,111.480003,52.040001000000004,116.550003,108.0,210.020004,110.279999,22.389999,20.610001,74.81333199999999,32.169998,70.089996,47.27,39.759997999999996
2015-05-14,112.099998,52.32,117.18,109.58000200000001,212.210007,110.279999,22.719998999999998,20.530001000000002,75.40666999999999,32.779999,71.311996,47.59,40.610001000000004
2015-05-15,112.510002,52.560001,117.529999,109.58000200000001,212.440002,110.279999,22.690001000000002,20.52,75.433334,33.009997999999996,71.897903,47.950001,40.599998
2015-05-18,111.139999,53.0,117.519997,110.059998,213.100006,110.279999,22.74,20.440001000000002,76.916664,32.349998,71.280098,47.27,40.360001000000004
2015-05-19,109.550003,53.040001000000004,115.889999,109.940002,213.02999900000003,110.279999,22.540001,19.629998999999998,77.033333,31.879998999999998,71.279999,46.73,40.439999
2015-05-20,109.129997,53.040001000000004,116.08000200000001,110.010002,212.88000499999998,110.279999,22.440001000000002,19.84,78.246666,31.91,71.279999,46.52,40.560001
2015-05-21,109.220001,53.240002000000004,115.690002,110.58000200000001,213.5,110.279999,22.43,20.5,77.81333199999999,31.530001000000002,71.279999,46.91,40.709998999999996
2015-05-22,108.139999,53.119999,115.599998,110.470001,212.99000499999997,110.279999,22.23,20.25,78.033333,30.99,70.849998,46.84,40.27
2015-05-26,106.82,52.439999,113.910004,109.199997,210.69999700000002,110.279999,21.98,19.690001000000002,77.66999799999999,30.280001000000002,68.800003,46.75,39.23
2015-05-27,107.089996,52.799999,113.889999,110.959999,212.69999700000002,110.279999,21.870001000000002,19.48,78.959999,30.57,68.510002,46.630001,39.849998
2015-05-28,107.519997,52.68,114.019997,110.709999,212.460007,110.290001,21.98,19.559998999999998,78.833336,30.4,65.29499799999999,45.990002000000004,39.77
2015-05-29,107.910004,52.200001,114.099998,110.050003,211.13999900000002,110.279999,21.83,20.309998999999998,79.389999,29.860001,67.480003,46.029999,39.029999
2015-06-01,107.309998,52.439999,114.0,110.41999799999999,211.57000699999998,110.279999,22.01,20.360001,79.68,29.9,66.260002,45.709998999999996,38.990002000000004
2015-06-02,109.470001,52.32,114.459999,110.07,211.36000099999998,110.279999,22.32,20.68,79.573334,30.6,66.93139599999999,45.810001,39.389998999999996
2015-06-03,110.769997,52.52,113.639999,110.400002,211.919998,110.290001,22.24,20.17,80.470001,30.17,66.528999,45.860001000000004,39.990002000000004
2015-06-04,110.389999,52.16,112.839996,109.559998,210.13000499999998,110.279999,22.370001000000002,19.66,79.893333,29.82,65.040001,44.919998,39.400002
2015-06-05,109.129997,51.84,112.239998,109.300003,209.770004,110.269997,22.26,19.9,81.253334,29.690001000000002,65.189003,44.59,38.799999
2015-06-08,110.849998,51.560001,112.57,108.190002,208.419998,110.269997,22.459999,19.709999,81.323334,29.889999,65.0,44.59,38.720001
2015-06-09,110.739998,51.040001000000004,112.82,108.010002,208.449997,110.269997,22.48,20.209999,80.11333499999999,29.83,64.75,44.369999,38.57
2015-06-10,111.269997,51.880001,113.779999,109.489998,210.960007,110.279999,22.35,20.639999,80.706665,30.309998999999998,66.989998,44.970001,39.669998
2015-06-11,110.690002,52.119999,113.260002,109.650002,211.649994,110.290001,22.049999,20.49,81.303337,30.4,66.668999,45.25,39.790001000000004
2015-06-12,110.529999,51.84,113.230003,108.75,209.92999300000002,110.279999,21.98,20.27,80.003334,30.190001000000002,65.599998,45.099998,39.23
